gndr,ethnic,insulin,noninsulin,metformin,hf,cardio,cerebr,periph,cursmok,unq_id
NA,white,0,1,0,1,0,0,0,0,422
NA,white,0,0,0,0,0,0,0,0,423
female,other,0,0,0,0,0,0,0,0,424
male,other,1,0,0,0,1,0,0,0,425
male,black,0,0,0,0,0,0,0,0,426
female,black,0,0,0,0,0,0,0,0,427
female,other,0,1,0,1,0,0,1,0,428
female,other,0,1,0,1,1,0,0,0,429
female,other,0,1,0,1,0,1,0,0,430
NA,black,1,1,1,0,0,0,0,0,431
female,black,1,0,0,1,0,0,0,1,432
male,other,1,1,1,1,1,0,0,1,433
male,other,1,1,1,1,0,0,1,1,434
male,other,1,1,1,1,0,1,0,1,435
female,white,0,1,1,0,1,0,0,1,436
female,white,0,1,1,0,0,1,0,1,437
female,white,0,1,1,0,0,0,1,1,438
male,asian,1,0,0,0,0,0,0,1,439
female,asian,1,0,0,1,0,0,0,1,440
female,black,0,0,0,1,0,0,0,1,441
NA,black,0,1,0,0,0,1,0,0,442
female,asian,0,0,0,1,0,0,1,0,443
female,asian,0,0,0,1,1,0,0,0,444
female,asian,0,0,0,1,0,1,0,0,445
male,black,0,1,1,1,0,0,1,1,446
male,black,0,1,1,1,1,0,0,1,447
male,black,0,1,1,1,0,1,0,1,448
NA,white,0,0,0,1,0,0,0,1,449
male,NA,1,1,1,0,0,0,0,0,450
female,black,0,1,1,1,0,0,0,1,451
female,other,1,0,0,0,0,1,0,1,452
female,other,1,1,1,0,1,0,0,1,453
female,other,1,1,1,0,0,1,0,1,454
female,other,1,1,1,0,0,0,1,1,455
male,white,1,1,0,0,0,0,0,0,456
female,NA,1,1,1,1,1,0,0,0,457
female,NA,1,1,1,1,0,0,1,0,458
female,NA,1,1,1,1,0,1,0,0,459
female,black,1,1,0,0,0,0,0,0,460
male,other,0,0,0,0,1,0,0,0,461
male,other,0,0,0,0,0,0,1,0,462
male,other,0,0,0,0,0,1,0,0,463
female,asian,1,1,0,1,1,0,0,0,464
female,asian,1,1,0,1,0,1,0,0,465
female,asian,1,1,0,1,0,0,1,0,466
female,black,0,1,1,1,1,0,0,0,467
female,black,0,1,1,1,0,1,0,0,468
female,black,0,1,1,1,0,0,1,0,469
male,other,0,1,0,1,0,0,0,0,470
male,other,0,0,0,0,0,0,0,1,471
NA,black,0,1,1,0,0,0,0,0,472
male,other,1,1,1,0,1,0,0,1,473
male,other,1,1,1,0,0,0,1,1,474
male,other,1,1,1,0,0,1,0,1,475
male,black,0,1,0,1,0,0,0,0,476
female,NA,0,1,0,0,0,0,0,0,477
male,black,1,1,1,1,0,0,1,0,478
male,black,1,1,1,1,1,0,0,0,479
male,black,1,1,1,1,0,1,0,0,480
male,black,0,1,1,1,0,0,0,0,481
male,asian,1,1,1,0,0,1,0,1,482
male,asian,1,1,1,0,1,0,0,1,483
male,asian,1,1,1,0,0,0,1,1,484
female,black,0,0,0,1,1,0,0,1,485
female,black,0,0,0,1,0,1,0,1,486
female,black,0,0,0,1,0,0,1,1,487
female,black,0,0,0,1,0,0,0,0,488
female,black,1,0,0,1,0,0,0,0,489
male,NA,0,1,0,0,0,0,0,0,490
male,other,1,1,1,1,0,0,0,0,491
female,white,1,1,0,1,1,0,0,0,492
female,white,1,1,0,1,0,0,1,0,493
female,white,1,1,0,1,0,1,0,0,494
female,asian,0,1,0,0,0,0,0,1,495
NA,white,1,0,0,0,1,0,0,0,496
NA,white,1,0,0,0,0,0,1,0,497
NA,white,1,0,0,0,0,1,0,0,498
female,other,0,1,0,0,0,0,0,1,499
male,other,0,0,0,1,1,0,0,1,500
male,other,0,0,0,1,0,0,1,1,501
male,other,0,0,0,1,0,1,0,1,502
